Pnum,W,L,G,IP,ER,ERA,SO
2,5,13,36,155.2,89,5.15,131
17,13,7,26,158.2,77,4.37,134
19,8,15,32,174.1,95,4.9,218
24,3,12,20,101,69,6.15,70
25,4,5,13,70,41,5.27,43
26,5,4,27,74.2,53,6.39,60
27,4,5,13,50.2,24,4.26,54
28,8,9,26,141.2,79,5.02,143
29,0,2,26,24.2,20,7.3,17
30,0,0,3,4.1,1,2.08,3
31,0,0,1,5.2,2,3.18,4
32,5,2,79,75,37,4.44,68
33,1,2,25,23.2,19,7.23,17
35,1,1,7,18,4,2,10
36,1,0,3,10,2,1.8,7
37,1,2,68,59.1,23,3.49,56
38,1,2,43,41.1,26,5.66,43
39,0,1,32,22.2,17,6.75,28
40,2,3,40,37.2,18,4.3,46
41,1,0,15,22.1,12,4.84,17
42,0,1,21,13.1,10,6.75,10
43,0,0,1,2,1,4.5,2
44,0,0,24,14.2,8,4.91,15
45,0,0,2,3,3,9,2
46,3,2,70,60.1,35,5.22,58
47,0,1,25,27,19,6.33,23
48,1,0,8,6,10,15,3
49,0,1,15,15.1,15,8.8,9
50,2,3,36,38.1,12,2.82,27
61,1,2,5,26.2,16,5.4,27
74,7,10,30,188,67,3.21,167
76,1,2,5,24.2,18,6.57,25
77,0,7,22,62.2,34,4.88,37
78,3,7,22,70.1,33,4.22,60
80,7,13,27,156.2,87,5,115
81,3,7,22,70.1,33,4.22,60
82,2,7,15,70,59,7.59,46
83,2,0,3,19,5,2.37,16
84,1,4,20,50,27,4.86,49
85,2,2,5,29.1,11,3.38,21
86,1,1,2,9,8,8,6
87,2,4,14,52,34,5.88,26
88,2,6,65,64.2,22,3.06,68
89,0,3,10,21.2,14,5.82,7
90,2,0,63,51,18,3.18,56
91,2,3,11,53.2,36,6.04,27
93,1,1,16,36.1,22,5.45,23
94,3,1,16,15,5,3,28
95,1,1,6,7,4,5.14,4
96,5,1,41,38.1,12,2.82,32
97,1,0,50,34,12,3.18,35
98,2,0,15,17,8,4.24,16
99,1,2,21,17,10,5.29,23
100,0,0,2,1.1,5,33.75,1
101,0,0,4,3.1,2,5.4,2
102,1,4,39,28.2,22,6.91,22
103,2,1,36,32,14,3.94,29
104,2,2,33,32.2,13,3.58,33
105,1,0,21,20,8,3.6,26
106,0,0,7,6.2,1,1.35,3
107,1,4,43,38.2,19,4.42,50
108,0,0,3,2.1,0,0,4
109,3,0,46,37.2,15,3.58,28
110,0,0,8,7,5,6.43,4
111,6,8,23,118,71,5.42,85
123,2,5,11,54,37,6.17,55
134,10,6,36,109.2,49,4.02,104
135,1,0,14,18,8,4,21
136,9,12,30,179.2,72,3.61,174
137,8,2,66,74.2,26,3.13,96
138,0,0,22,18.1,1,0.49,12
139,8,12,29,142.1,86,5.44,125
140,16,6,30,172,72,3.77,140
141,0,0,3,2.1,0,0,3
142,10,4,71,79,18,2.05,92
143,0,0,2,3.1,5,13.5,3
144,2,1,69,67,4,0.54,74
145,0,2,16,27.1,17,5.6,17
146,2,2,16,24.2,19,6.93,7
147,0,0,7,6.1,7,9.95,4
148,4,6,24,94,55,5.27,55
149,2,2,35,86.2,34,3.53,56
150,3,4,18,74.2,48,5.79,50
171,22,4,33,223,78,3.15,189
175,8,10,37,139.1,74,4.78,93
178,3,5,14,68.2,35,4.59,71
179,17,9,35,230,102,3.99,228
180,3,7,20,107,56,4.71,100
182,13,6,24,156.2,58,3.33,127
183,0,2,18,12.2,9,6.39,12
184,4,3,62,66.2,30,4.05,71
185,0,1,3,7.2,11,12.91,3
186,4,1,38,51,15,2.65,47
187,4,0,20,40,23,5.18,48
188,2,6,57,53,20,3.4,83
189,0,0,2,2.2,7,23.63,2
190,3,2,54,55.1,20,3.25,56
191,3,2,53,49.2,23,4.17,54
192,2,3,50,47,18,3.45,63
193,2,4,33,29.2,5,1.52,31
207,15,10,30,166.2,71,3.83,144
214,4,0,77,61,20,2.95,47
215,16,8,31,190,45,2.13,170
216,4,4,50,65.2,20,2.74,66
217,19,5,32,202.2,55,2.44,197
218,11,8,29,188.1,70,3.35,180
220,1,1,17,38.1,12,2.82,38
221,1,0,2,6,1,1.5,4
222,0,1,36,36,15,3.75,52
223,1,1,16,21.1,13,5.48,22
224,0,1,5,4,4,9,5
225,0,1,25,14,10,6.43,7
226,2,3,54,51,20,3.53,58
228,2,2,54,47.1,15,2.85,60
229,3,2,29,35,23,5.91,27
230,1,0,8,16,2,1.13,17
231,1,1,28,26.2,3,1.01,46
232,0,0,3,2.1,1,3.86,2
233,2,1,68,52.2,24,4.1,65
234,0,0,1,3,6,18,2
235,1,0,3,2,0,0,4
236,0,0,11,9,4,4,13
237,0,0,8,7.2,4,4.7,10
238,1,1,16,14.1,4,2.51,15
239,2,6,58,51.1,36,6.31,30
242,0,1,7,27.2,26,8.46,16
251,4,12,22,114.1,86,6.77,78
263,17,10,32,226.2,84,3.34,233
266,5,8,24,135,56,3.73,95
267,6,2,11,60.1,31,4.62,32
268,13,12,32,208,74,3.2,181
269,9,10,28,165,74,4.04,168
270,2,2,25,25.1,18,6.39,20
271,2,0,53,37.2,11,2.63,42
272,0,2,8,11.2,11,8.49,10
273,4,3,64,60.2,14,2.08,46
274,5,3,71,70.2,18,2.29,80
275,0,1,29,27.1,8,2.63,25
276,1,0,11,10.1,5,4.35,6
277,1,0,25,27.1,7,2.3,30
278,5,3,62,62.1,24,3.47,75
279,0,0,5,4.1,3,6.23,1
280,1,2,18,24.2,18,6.57,18
281,1,0,23,30,10,3,30
298,2,1,35,50,16,2.88,48
299,4,4,13,69.2,31,4,47
301,3,3,32,59.2,31,4.68,48
304,9,5,20,123.1,45,3.28,105
305,10,11,31,172,76,3.98,145
306,2,3,6,23,17,6.65,27
307,3,2,37,78.1,22,2.53,83
308,2,7,15,58.2,61,9.36,39
309,1,7,14,70,50,6.43,58
310,14,8,34,191.1,80,3.76,162
311,1,1,45,43,15,3.14,37
312,0,0,6,9.2,9,8.38,8
315,0,1,3,9,11,11,8
316,0,0,7,10,7,6.3,9
317,0,3,5,21.1,19,8.02,10
318,0,7,10,47.2,39,7.36,43
319,0,1,18,39.1,19,4.35,42
320,2,3,8,37,25,6.08,31
321,6,5,70,76.2,34,3.99,81
322,0,2,4,13,11,7.62,6
323,2,5,65,63,29,4.14,49
324,0,3,23,24.1,20,7.4,21
325,0,0,5,5.2,7,11.12,2
326,0,0,7,8,6,6.75,10
327,0,0,6,6.2,7,9.45,3
328,1,2,18,18.2,28,13.5,15
329,0,0,5,4.1,3,6.23,1
330,5,7,64,65.2,34,4.66,68
331,0,0,10,7.1,7,8.59,5
332,1,3,27,32.1,23,6.4,28
333,0,0,2,2.1,5,19.29,2
334,13,9,30,174,85,4.4,118
345,18,9,32,215,75,3.14,227
357,12,8,35,190,90,4.26,168
358,3,3,17,53,31,5.26,50
360,11,6,25,137.1,59,3.87,161
361,3,5,67,68,19,2.51,87
362,0,0,20,20,5,2.25,18
363,1,3,11,10,8,7.2,10
364,0,0,29,16,9,5.06,17
365,1,0,7,3,7,21,4
366,2,2,21,21.2,9,3.74,17
367,2,1,53,43.1,15,3.12,36
368,3,2,53,52.1,20,3.44,54
369,4,0,26,29,5,1.55,46
370,5,1,62,70.2,12,1.53,57
371,0,0,2,3.2,3,7.36,3
372,2,5,75,66.2,24,3.24,69
375,1,3,15,24.2,23,8.39,22
395,12,9,27,158,68,3.87,117
396,8,9,27,134,82,5.51,108
397,3,5,29,84.1,35,3.74,69
398,10,10,29,168,86,4.61,185
399,5,6,19,114.1,45,3.54,99
400,2,5,17,64,51,7.17,47
401,14,8,32,186,99,4.79,138
402,2,1,40,40.2,24,5.31,32
403,0,4,8,31.1,17,4.88,22
404,4,5,40,58.2,38,5.83,32
405,1,1,6,20.2,12,5.23,15
406,1,1,40,42.2,27,5.7,45
408,1,0,19,15.2,16,9.19,17
409,0,0,19,14.2,10,6.14,12
410,3,7,63,55,32,5.24,59
411,0,0,2,3.2,5,12.27,0
412,0,0,6,9.2,10,9.31,7
413,0,0,2,2,3,13.5,1
414,2,5,66,46.1,19,3.69,57
415,2,3,57,45.2,24,4.73,38
416,0,1,30,23.2,13,4.94,24
417,1,1,24,26,15,5.19,20
418,1,3,34,27,8,2.67,35
419,2,0,44,32.2,19,5.23,22
430,9,7,19,105.1,57,4.87,66
440,16,9,34,227.2,77,3.04,254
444,11,7,26,159,54,3.06,132
445,5,4,50,60.1,39,5.82,59
446,4,2,14,69.1,26,3.38,71
447,7,13,35,153.1,100,5.87,135
448,0,0,3,4.2,1,1.93,1
449,1,3,54,49.1,39,7.11,49
450,3,4,61,58.1,21,3.24,52
451,5,2,37,36.1,12,2.97,45
452,4,2,56,55.2,19,3.07,35
453,1,0,19,19,15,7.11,10
454,4,0,62,73,24,2.96,49
455,4,5,66,58.2,27,4.14,65
457,6,5,14,81,29,3.22,106
472,12,13,32,180.1,93,4.64,115
480,5,3,26,62,20,2.9,42
481,9,12,26,168,85,4.55,144
482,13,10,33,184.2,89,4.34,177
483,4,4,48,108.1,26,2.16,104
484,8,1,47,65,32,4.43,95
485,0,0,15,15.2,12,6.89,20
486,2,5,69,65.2,30,4.11,102
487,4,3,59,57.2,21,3.28,67
488,1,2,66,64,16,2.25,69
489,1,1,22,22,11,4.5,28
490,4,4,11,62,28,4.06,55
491,2,2,60,47,16,3.06,43
492,0,1,10,31.2,13,3.69,28
493,1,2,60,43.2,24,4.95,40
494,11,12,32,186,92,4.45,144
513,12,3,42,179.2,70,3.51,188
517,8,9,33,125,65,4.68,89
519,11,11,33,195.2,80,3.68,184
520,10,11,34,189.1,113,5.37,139
521,3,9,34,88.2,61,6.19,94
522,2,1,45,43.1,9,1.87,47
523,1,2,36,55.1,16,2.6,44
524,2,6,72,72,22,2.75,86
525,2,3,40,37.1,16,3.86,40
526,2,0,50,44.2,17,3.43,34
527,5,8,70,66.2,30,4.05,68
528,2,2,21,22,3,1.23,30
529,6,0,38,53.1,25,4.22,30
530,5,6,29,117.1,61,4.68,92
531,10,4,22,120.2,57,4.25,107
555,1,3,64,57.1,22,3.45,51
556,4,6,11,73,26,3.21,51
557,9,13,27,160,69,3.88,143
558,3,2,13,68.1,27,3.56,68
559,12,12,31,178,100,5.06,103
560,1,0,27,37.2,13,3.11,14
561,2,0,45,40.1,5,1.12,51
562,3,0,44,53.1,19,3.21,36
563,0,0,7,6.1,4,5.68,4
564,1,0,24,18.1,11,5.4,14
565,2,2,60,55.2,27,4.37,49
566,2,1,43,46.1,15,2.91,31
567,0,2,19,24.2,16,5.84,17
568,3,6,58,56.1,28,4.47,45
569,1,4,38,37.2,16,3.82,25
570,3,2,26,22.1,16,6.45,14
571,5,4,37,40.2,25,5.53,43
578,3,3,13,42.2,31,6.54,42
583,1,4,14,60.1,25,3.73,66
594,12,4,21,149,28,1.69,172
597,5,2,18,77,29,3.39,84
598,16,11,32,175.2,68,3.48,179
599,10,6,26,136.1,69,4.56,134
600,2,2,7,28,18,5.79,25
601,5,9,22,100,44,3.96,74
603,1,2,4,11.1,15,11.91,5
604,3,2,73,74,25,3.04,83
605,1,4,6,27.2,21,6.83,25
606,0,1,25,26.1,6,2.05,39
607,2,0,4,17,12,6.35,15
608,1,0,22,19.1,6,2.79,22
609,0,0,1,4,0,0,3
610,3,2,6,34.1,7,1.83,39
611,1,1,64,50.2,23,4.09,44
612,2,3,10,40,22,4.95,44
613,0,1,1,4.2,6,11.57,4
614,0,1,1,4,5,11.25,3
616,3,0,27,19.2,7,3.2,28
617,7,2,75,80,22,2.48,80
618,1,0,23,25.2,12,4.21,21
619,2,1,61,48,25,4.69,45
620,0,1,25,25.2,12,4.21,23
621,0,0,9,8.1,3,3.24,4
622,3,2,71,68.2,14,1.83,104
623,2,2,58,42.2,16,3.38,47
624,0,0,10,9.2,1,0.93,13
625,0,1,2,1.2,1,5.4,0
626,0,0,5,3,4,12,2
639,16,8,29,182.1,58,2.86,253
648,0,1,3,13,8,5.54,10
649,1,4,12,52.2,35,5.98,45
650,7,6,64,86.2,22,2.28,114
651,4,9,28,83.2,57,6.13,58
652,0,1,4,19.2,13,5.95,11
654,8,6,25,133.1,57,3.85,124
655,9,13,33,176.2,85,4.33,147
656,3,6,18,79.1,44,4.99,37
658,6,3,75,72.2,23,2.85,113
659,5,5,22,123.1,68,4.96,100
660,1,0,2,10,7,6.3,6
661,4,2,32,33,9,2.45,32
662,0,0,1,3,0,0,1
663,1,3,55,67,21,2.82,63
664,0,0,24,17.2,6,3.06,13
665,1,0,6,8.1,8,8.64,6
666,0,2,15,14,7,4.5,7
667,0,1,15,14,11,7.07,14
668,0,0,18,9.1,5,4.82,7
669,0,0,3,3,3,9,0
670,6,1,51,42.1,16,3.4,38
671,0,0,2,3,4,12,3
672,0,1,8,10.2,7,5.91,7
673,0,0,14,15.2,4,2.3,8
674,1,4,67,64,20,2.81,73
675,0,0,1,3.1,0,0,4
676,2,3,39,36.2,24,5.89,41
677,4,3,48,51.2,18,3.14,42
686,0,1,20,28.1,9,2.86,22
689,9,3,20,121.2,38,2.81,100
699,7,11,23,127.2,69,4.86,93
700,0,5,8,26.2,23,7.76,18
703,11,7,28,163.1,72,3.97,135
704,9,11,31,151.2,74,4.39,120
706,8,16,32,179.1,92,4.62,140
707,6,8,19,101.2,51,4.51,70
708,2,4,61,66,29,3.95,26
709,0,1,43,58.2,21,3.22,47
711,2,2,14,21.2,8,3.32,15
712,0,1,27,26.2,8,2.7,26
713,3,1,41,41.1,26,5.66,36
714,1,1,16,24,11,4.13,27
715,0,0,7,7.2,11,12.91,8
716,0,0,10,10.2,13,10.97,9
717,2,2,47,44.2,11,2.22,35
718,0,0,1,1,1,9,1
719,1,4,35,32.2,17,4.68,38
720,0,0,3,3,2,6,0
721,0,0,1,1.2,5,27,0
722,0,0,2,1.2,2,10.8,3
723,0,0,4,3,5,15,2
724,0,0,16,18.1,5,2.45,14
725,1,3,27,22,9,3.68,22
726,8,5,67,67,16,2.15,90
727,3,3,72,82.1,25,2.73,78
728,3,7,14,58.1,52,8.02,49
729,3,5,19,69.1,44,5.71,49
750,1,4,39,34,10,2.65,29
751,9,12,26,133,95,6.43,114
752,6,11,25,147.1,83,5.07,104
753,1,7,12,59,39,5.95,34
755,4,8,21,124.2,71,5.13,93
756,0,1,26,25,11,3.96,24
757,7,11,30,181.1,68,3.38,149
758,3,2,65,71.2,40,5.02,80
759,2,0,37,36,17,4.25,37
760,1,1,25,23,12,4.7,17
761,1,6,19,67.1,47,6.28,50
762,1,0,14,13.2,12,7.9,12
763,2,5,33,30.2,21,6.16,22
764,0,2,54,54.1,19,3.15,35
765,0,1,15,14,14,9,14
766,2,2,44,42.2,25,5.27,60
767,6,7,72,75.1,31,3.7,67
768,3,1,57,61.1,27,3.96,64
769,1,3,16,17.1,8,4.15,14
793,14,9,31,183.2,53,2.6,218
794,5,2,17,64,19,2.67,45
796,7,8,24,148,50,3.04,143
797,9,8,22,132.1,50,3.4,129
798,4,10,17,92.2,50,4.86,76
799,15,8,34,191.2,73,3.43,128
800,4,2,8,44.2,12,2.42,42
801,3,8,35,91.2,53,5.2,66
802,4,2,73,42,13,2.79,52
803,0,1,9,19,17,8.05,20
804,6,4,68,77.2,30,3.48,85
805,3,0,20,15.1,8,4.7,25
806,1,0,10,18.1,13,6.38,17
807,0,0,41,43.2,23,4.74,46
808,1,0,16,10.1,6,5.23,11
809,3,4,78,77.2,22,2.55,84
810,0,1,14,17.2,14,7.13,11
811,2,2,36,35.2,18,4.54,36
812,2,2,44,35,16,4.11,40
813,0,1,6,11,14,11.45,12
814,4,2,80,77.2,17,1.97,91
815,0,1,17,17.1,4,2.08,19
839,9,8,24,124.2,66,4.76,97
840,2,4,12,45.2,24,4.73,52
841,7,6,21,97.1,53,4.9,75
842,6,12,32,175.2,94,4.82,207
843,9,12,30,179.2,78,3.91,152
844,14,4,31,199.2,68,3.07,165
846,3,6,73,73,25,3.08,126
847,0,0,23,23,5,1.96,13
848,3,0,31,31.1,7,2.01,44
849,2,3,29,25.1,7,2.49,26
850,0,0,3,6,4,6,1
851,0,0,27,29,15,4.66,34
852,6,1,44,45.1,7,1.39,77
853,0,0,3,3,1,3,4
854,2,1,37,33,19,5.18,33
855,1,2,26,31,19,5.52,31
856,4,2,29,30.1,11,3.26,25
857,2,1,41,41.1,24,5.23,50
883,2,4,9,44,30,6.14,23
884,10,11,31,186,85,4.11,108
885,5,11,22,117,74,5.69,94
886,2,4,9,46.1,31,6.02,23
888,6,7,63,64.2,26,3.62,49
889,7,9,25,144.2,62,3.86,124
890,2,9,14,72,52,6.5,71
891,2,4,24,70,33,4.24,27
892,1,1,24,56.1,27,4.31,55
893,6,4,68,65.2,29,3.97,60
894,3,1,35,47.2,24,4.53,54
895,2,3,44,39,14,3.23,45
896,5,5,70,74.1,20,2.42,73
897,0,4,53,64.2,27,3.76,71
898,2,0,34,40.2,19,4.2,37
899,1,0,56,36,12,3,37
900,0,0,8,12.2,14,9.95,12
905,3,5,11,63.1,39,5.54,31
917,8,6,24,131,60,4.12,152
921,12,10,32,189,78,3.71,154
922,1,1,4,17.1,8,4.15,19
923,2,2,26,50.1,27,4.83,38
924,3,6,10,53.2,34,5.7,32
925,11,14,33,197.1,80,3.65,167
929,2,11,23,113.1,76,6.04,95
930,2,1,5,27.2,7,2.28,13
932,6,9,20,111,59,4.78,121
933,1,2,27,35.1,22,5.6,34
934,1,2,14,15,14,8.4,14
935,0,0,4,10.2,10,8.44,7
936,1,1,24,31.2,22,6.25,31
937,2,1,32,27.1,17,5.6,29
938,3,1,33,32.1,23,6.4,33
939,1,1,17,15.1,11,6.46,14
940,3,5,70,68.2,37,4.85,47
941,3,4,70,72.2,31,3.84,80
942,0,1,10,11,4,3.27,8
943,1,0,25,21.2,14,5.82,23
944,4,4,79,80.1,23,2.58,102
945,1,3,42,40,17,3.83,40
946,0,0,12,9.2,3,2.79,7
947,0,0,7,4.1,9,18.69,4
948,0,1,6,2,10,45,2
949,0,0,7,5,6,10.8,2
951,1,1,6,15.1,11,6.46,8
954,6,11,21,113.2,69,5.46,116
965,0,3,8,33.1,18,4.86,29
971,7,10,21,116,50,3.88,98
972,10,7,52,118,59,4.5,138
974,0,2,7,23.1,11,4.24,24
975,5,2,11,64.2,22,3.06,52
976,9,8,30,127.1,77,5.44,73
978,8,6,23,110,60,4.91,76
979,5,4,18,104,39,3.38,85
980,5,4,14,70.2,33,4.2,53
982,3,7,24,82.1,44,4.81,61
983,1,2,39,41,16,3.51,32
985,1,1,67,59.1,20,3.03,34
986,0,0,6,11.1,7,5.56,10
987,1,0,8,12,1,0.75,10
988,2,0,14,25,11,3.96,15
991,0,0,15,16.1,8,4.41,13
992,2,2,36,52,21,3.63,46
993,1,1,7,12.2,11,7.82,11
994,3,0,28,24,11,4.13,28
995,0,0,3,4,0,0,3
996,4,2,62,53.2,21,3.52,61
997,0,1,9,8.2,9,9.35,9
998,0,0,2,3.1,0,0,1
999,1,1,45,41.2,7,1.51,38
1000,0,0,2,0.2,3,40.5,0
1001,0,0,8,6.2,2,2.7,6
1002,1,3,28,27.1,10,3.29,39
1003,0,0,2,3.2,7,17.18,4
1004,2,5,70,67.2,23,3.06,58
1022,5,6,13,73.1,48,5.89,54
1027,2,7,11,67.1,32,4.28,57
1029,4,7,16,79.1,42,4.76,67
1032,8,7,17,102,28,2.47,115
1034,9,10,35,146.2,93,5.71,105
1036,5,5,19,99.1,55,4.98,76
1039,0,3,9,37.1,25,6.03,27
1040,3,3,11,53.2,15,2.52,34
1041,5,12,24,129.1,69,4.8,100
1042,3,5,16,61.1,25,3.67,47
1043,1,2,3,15.2,7,4.02,13
1044,4,4,82,89.1,29,2.92,111
1045,0,4,4,19.2,20,9.15,10
1046,0,1,1,5.1,7,11.81,5
1047,0,3,7,34,19,5.03,28
1048,2,2,51,74,49,5.96,61
1049,1,0,11,9.2,4,3.72,10
1050,3,0,67,63,20,2.86,78
1051,1,0,18,22,14,5.73,24
1052,1,0,34,35.2,20,5.05,20
1053,0,0,1,2,1,4.5,0
1054,1,0,15,18.2,7,3.38,9
1055,0,0,1,1.1,4,27,0
1056,0,5,71,69.2,35,4.52,72
1057,1,0,18,16,3,1.69,8
1058,7,7,60,59.2,26,3.92,42
1059,0,1,28,28.2,1,0.31,33
1060,1,0,4,4,2,4.5,3
1061,1,0,18,17,11,5.82,9
1062,0,0,4,3,0,0,3
1063,3,2,56,48.1,23,4.28,45
1064,1,0,4,17,2,1.06,10
1084,3,5,22,84,40,4.29,54
1085,15,9,34,226.2,69,2.74,251
1086,5,9,31,118.2,73,5.54,102
1087,12,11,32,203.1,86,3.81,167
1089,18,5,32,219.2,68,2.79,198
1090,4,8,21,89.1,56,5.64,72
1091,6,5,12,68.1,31,4.08,69
1093,4,2,61,55,13,2.13,50
1094,1,3,68,26.2,12,4.05,15
1095,1,0,2,1,6,54,0
1096,0,0,16,14,5,3.21,14
1097,1,0,7,10,4,3.6,6
1098,0,0,4,5.1,7,11.81,4
1099,2,5,62,58,23,3.57,65
1100,1,1,4,5,6,10.8,3
1101,3,2,57,53.1,15,2.53,35
1102,1,0,7,4.1,0,0,5
1103,1,3,59,36.1,19,4.71,25
1104,0,1,8,6,5,7.5,3
1105,1,0,40,30.2,9,2.64,33
1106,1,1,26,18.1,6,2.95,26
1107,3,3,72,61,21,3.1,57
1130,7,8,19,112,62,4.98,82
1132,0,4,49,51.2,16,2.79,88
1133,11,8,25,153.1,65,3.82,122
1134,16,12,33,199,91,4.12,147
1135,6,2,22,94.1,54,5.15,101
1136,6,7,20,121,51,3.79,117
1137,1,0,26,23.1,14,5.4,28
1138,1,1,26,24.1,14,5.18,28
1139,4,6,62,64,20,2.81,76
1140,1,0,16,16.2,8,4.32,17
1141,1,2,9,25.2,11,3.86,15
1142,3,4,32,61.2,16,2.34,54
1143,1,1,55,58.2,23,3.53,51
1144,1,0,11,9.1,8,7.71,6
1145,3,0,19,18.1,7,3.44,16
1146,4,4,60,60.1,25,3.73,65
1147,0,1,29,25,10,3.6,17
1149,1,4,9,36.1,23,5.7,45
1162,16,9,31,195.1,66,3.04,174
1166,13,9,33,198.2,102,4.62,161
1169,10,13,32,171.2,89,4.67,150
1172,9,12,30,176.2,92,4.69,125
1173,4,1,12,46,8,1.57,52
1174,7,7,27,138,78,5.09,114
1175,2,5,59,67.2,26,3.46,52
1176,0,0,26,22,13,5.32,14
1177,2,0,30,48,18,3.38,46
1178,2,2,29,31.2,12,3.41,16
1180,6,3,76,79.2,17,1.92,103
1181,2,4,45,40.1,20,4.46,56
1182,0,0,11,17.1,11,5.71,8
1183,4,2,66,60.2,29,4.3,57
1184,0,1,28,23.1,5,1.93,26
1185,1,1,4,5.1,16,27,2
1186,6,3,67,61.2,19,2.77,66
1187,1,0,15,18,4,2,16
1188,0,0,12,9,6,6,7
1190,7,7,21,130,59,4.08,109
1196,10,6,33,187.2,77,3.69,166
1215,8,8,29,127.2,62,4.37,109
1216,9,19,33,201.1,90,4.02,233
1217,7,12,30,175.1,95,4.88,167
1218,6,8,19,89,35,3.54,98
1219,3,4,54,41.1,17,3.7,43
1220,2,4,57,56.2,12,1.91,71
1221,0,1,33,23,23,9,21
1222,0,1,12,15,7,4.2,14
1223,1,2,37,39.1,19,4.35,33
1224,0,1,25,19,12,5.68,13
1225,7,11,64,90.2,38,3.77,63
1226,2,0,52,45.2,30,5.91,50
1227,0,1,16,18.1,8,3.93,14
1228,7,9,22,107.1,59,4.95,67
1229,7,5,17,100.1,38,3.41,132
1230,10,11,33,198.2,97,4.39,103
1253,15,5,32,200.2,74,3.32,200
1255,7,4,23,119,67,5.07,107
1256,2,3,12,38.2,24,5.59,16
1257,2,2,37,36.1,31,7.68,29
1258,0,0,10,11.2,10,7.71,13
1259,7,3,53,60.1,14,2.09,49
1260,7,2,58,61.2,17,2.48,61
1261,4,1,39,51.2,16,2.79,34
1262,4,2,66,53,20,3.4,59
1263,3,2,73,70.1,19,2.43,55
1264,1,0,12,13.1,4,2.7,7
1265,5,1,35,34,23,6.09,45
1266,0,0,12,15,3,1.8,15
1267,3,3,16,47.2,32,6.04,27
1269,20,4,32,195,69,3.18,163
1289,10,15,30,169.2,84,4.46,126
1291,9,9,29,176,68,3.48,165
1292,2,4,28,31,14,4.06,30
1294,15,2,30,192,64,3,161
1295,9,10,32,204,99,4.37,166
1296,2,0,25,23.2,1,0.38,24
1297,4,3,60,67.2,23,3.06,62
1298,1,7,54,36.2,16,3.93,45
1299,1,2,39,41.1,21,4.57,42
1300,0,0,14,10.1,5,4.35,5
1301,6,4,46,42,17,3.64,58
1302,0,1,5,4,4,9,2
1303,4,3,72,74,22,2.68,82
1304,1,3,38,33.1,23,6.21,32
1305,0,1,20,18.1,6,2.95,18
1306,2,3,64,40,22,4.95,46
1309,1,1,6,9.2,7,6.52,10
1316,0,1,6,21.1,16,6.75,11
1317,7,5,19,105,40,3.43,93
1327,15,4,24,147.2,59,3.6,183
1328,20,7,34,228.1,75,2.96,284
1330,3,5,36,62,31,4.5,49
1331,11,11,32,177.1,90,4.57,171
1332,16,10,34,210,66,2.83,172
1333,5,3,11,44,24,4.91,42
1334,0,0,40,46,9,1.76,32
1335,1,2,8,38.1,22,5.17,39
1336,3,2,67,58,17,2.64,80
1337,0,3,47,49.2,25,4.53,53
1338,2,4,37,41,11,2.41,47
1339,0,0,10,5.2,2,3.18,3
1340,2,0,19,19.2,11,5.03,16
1341,0,0,9,6,1,1.5,6
1342,0,0,5,3,0,0,4
1344,0,0,8,3.2,1,2.45,5
1345,1,1,30,29.2,6,1.82,27
1346,2,4,37,35,17,4.37,31
1347,0,0,14,11.2,2,1.54,9
1348,4,1,73,67,17,2.28,63
